
cell_type	feature	quantile	value
K562	CTCF.H3K27ac.expandedRegion.ratio	0.7	33.2343094156464
K562	CTCF.H3K27ac.expandedRegion.ratio	0.75	39.1318519040734
K562	CTCF.H3K27ac.expandedRegion.ratio	0.85	60.0512192498325
K562	CTCF.H3K27ac.expandedRegion.ratio	0.9	84.3501396751625
K562	CTCF.H3K27ac.expandedRegion.ratio	0.95	164.650438082338
K562	CTCF.H3K27ac.ratio	0.1	3.14625178427255
K562	CTCF.H3K27ac.ratio	0.25	10.6557378316761
K562	CTCF.H3K27ac.ratio	0.3	13.4217479633812
K562	CTCF.H3K27ac.ratio	0.35	16.2001902736118
K562	CTCF.H3K27ac.ratio	0.4	19.3490860576756
K562	CTCF.H3K27ac.ratio	0.5	26.8886084747586
K562	CTCF.H3K27ac.ratio	0.6	36.5960760171941
K562	CTCF.H3K27ac.ratio	0.7	51.7095252610243
K562	CTCF.H3K27ac.ratio	0.75	62.5887275534856
K562	CTCF.H3K27ac.ratio	0.85	108.448560474714
K562	CTCF.H3K27ac.ratio	0.9	182.511000952358
K562	CTCF.H3K27ac.ratio	0.95	3032.931
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.1	1.56608182289549
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.25	2.75021326310345
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.3	3.14682463413927
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.35	3.55970041260673
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.4	4.0190142779244
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.5	5.04101171945828
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.6	6.35787987575953
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.7	8.16321176620099
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.75	9.29663919358131
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.85	13.0816838674129
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.9	16.6429692271016
WTC11	CTCF.H3K27ac.expandedRegion.ratio	0.95	24.6035864342191
WTC11	CTCF.H3K27ac.ratio	0.1	2.0878774141449
WTC11	CTCF.H3K27ac.ratio	0.25	3.7294537776861
WTC11	CTCF.H3K27ac.ratio	0.3	4.33291789852098
WTC11	CTCF.H3K27ac.ratio	0.35	4.93712013390487
WTC11	CTCF.H3K27ac.ratio	0.4	5.6028152262982
WTC11	CTCF.H3K27ac.ratio	0.5	7.13533507397737
WTC11	CTCF.H3K27ac.ratio	0.6	9.09197534655698
WTC11	CTCF.H3K27ac.ratio	0.7	11.8599180472633
WTC11	CTCF.H3K27ac.ratio	0.75	13.8138090863815
WTC11	CTCF.H3K27ac.ratio	0.85	20.023270402639
WTC11	CTCF.H3K27ac.ratio	0.9	26.135005601895
WTC11	CTCF.H3K27ac.ratio	0.95	40.6462106056269
GM12878	H3K27me3.RPM.expandedRegion	0.1	0.938319
GM12878	H3K27me3.RPM.expandedRegion	0.25	1.231535
GM12878	H3K27me3.RPM.expandedRegion	0.3	1.310043
GM12878	H3K27me3.RPM.expandedRegion	0.35	1.380029
GM12878	H3K27me3.RPM.expandedRegion	0.4	1.454765
GM12878	H3K27me3.RPM.expandedRegion	0.5	1.606121
GM12878	H3K27me3.RPM.expandedRegion	0.6	1.777316
GM12878	H3K27me3.RPM.expandedRegion	0.7	1.958917
GM12878	H3K27me3.RPM.expandedRegion	0.75	2.079996
GM12878	H3K27me3.RPM.expandedRegion	0.85	2.366822
GM12878	H3K27me3.RPM.expandedRegion	0.9	2.587466
GM12878	H3K27me3.RPM.expandedRegion	0.95	2.94853925
H1	H3K27me3.RPM.expandedRegion	0.1	1.102781
H1	H3K27me3.RPM.expandedRegion	0.25	1.796404
H1	H3K27me3.RPM.expandedRegion	0.3	2.066593
H1	H3K27me3.RPM.expandedRegion	0.35	2.3550611
H1	H3K27me3.RPM.expandedRegion	0.4	2.708274
H1	H3K27me3.RPM.expandedRegion	0.5	3.590226
H1	H3K27me3.RPM.expandedRegion	0.6	5.026832
H1	H3K27me3.RPM.expandedRegion	0.7	7.5104656
H1	H3K27me3.RPM.expandedRegion	0.75	9.382443
H1	H3K27me3.RPM.expandedRegion	0.85	14.94482485
H1	H3K27me3.RPM.expandedRegion	0.9	19.5799657
H1	H3K27me3.RPM.expandedRegion	0.95	25.57492575
H9	H3K27me3.RPM.expandedRegion	0.1	1.452143
H9	H3K27me3.RPM.expandedRegion	0.25	2.2707975
H9	H3K27me3.RPM.expandedRegion	0.3	2.585448
H9	H3K27me3.RPM.expandedRegion	0.35	2.9501717
H9	H3K27me3.RPM.expandedRegion	0.4	3.3161126
H9	H3K27me3.RPM.expandedRegion	0.5	4.224785
H9	H3K27me3.RPM.expandedRegion	0.6	5.425941
H9	H3K27me3.RPM.expandedRegion	0.7	7.174296
H9	H3K27me3.RPM.expandedRegion	0.75	8.1583765
H9	H3K27me3.RPM.expandedRegion	0.85	10.9221659
H9	H3K27me3.RPM.expandedRegion	0.9	12.923053
H9	H3K27me3.RPM.expandedRegion	0.95	16.3465692
HCT116	H3K27me3.RPM.expandedRegion	0.1	0.686031
HCT116	H3K27me3.RPM.expandedRegion	0.25	0.859287
HCT116	H3K27me3.RPM.expandedRegion	0.3	0.909865
HCT116	H3K27me3.RPM.expandedRegion	0.35	0.962058
HCT116	H3K27me3.RPM.expandedRegion	0.4	1.008331
HCT116	H3K27me3.RPM.expandedRegion	0.5	1.116482
HCT116	H3K27me3.RPM.expandedRegion	0.6	1.232166
HCT116	H3K27me3.RPM.expandedRegion	0.7	1.3635606
HCT116	H3K27me3.RPM.expandedRegion	0.75	1.4409345
HCT116	H3K27me3.RPM.expandedRegion	0.85	1.6629395
HCT116	H3K27me3.RPM.expandedRegion	0.9	1.819731
HCT116	H3K27me3.RPM.expandedRegion	0.95	2.1077555
Jurkat	H3K27me3.RPM.expandedRegion	0.1	0.399027
Jurkat	H3K27me3.RPM.expandedRegion	0.25	0.558638
Jurkat	H3K27me3.RPM.expandedRegion	0.3	0.59854
Jurkat	H3K27me3.RPM.expandedRegion	0.35	0.638443
