cell_type	element_category	distance_category	ubiq_category	n_pairs
HCT116	No H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	73616
Jurkat	CTCF element	0-10 kb	Other gene	2296
Jurkat	CTCF element	0-10 kb	Ubiq. expr. gene	456
Jurkat	CTCF element	1 Mb-2 Mb	Other gene	217991
Jurkat	CTCF element	1 Mb-2 Mb	Ubiq. expr. gene	59900
Jurkat	CTCF element	10-100 kb	Other gene	23267
Jurkat	CTCF element	10-100 kb	Ubiq. expr. gene	6122
Jurkat	CTCF element	100-250 kb	Other gene	37146
Jurkat	CTCF element	100-250 kb	Ubiq. expr. gene	10020
Jurkat	CTCF element	250 kb-1 Mb	Other gene	174106
Jurkat	CTCF element	250 kb-1 Mb	Ubiq. expr. gene	48031
Jurkat	H3K27ac	0-10 kb	Other gene	8691
Jurkat	H3K27ac	0-10 kb	Ubiq. expr. gene	1992
Jurkat	H3K27ac	1 Mb-2 Mb	Other gene	522782
Jurkat	H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	140029
Jurkat	H3K27ac	10-100 kb	Other gene	66926
Jurkat	H3K27ac	10-100 kb	Ubiq. expr. gene	17533
Jurkat	H3K27ac	100-250 kb	Other gene	103291
Jurkat	H3K27ac	100-250 kb	Ubiq. expr. gene	27370
Jurkat	H3K27ac	250 kb-1 Mb	Other gene	449490
Jurkat	H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	122814
Jurkat	H3K27me3 element	0-10 kb	Other gene	230
Jurkat	H3K27me3 element	0-10 kb	Ubiq. expr. gene	26
Jurkat	H3K27me3 element	1 Mb-2 Mb	Other gene	26072
Jurkat	H3K27me3 element	1 Mb-2 Mb	Ubiq. expr. gene	6908
Jurkat	H3K27me3 element	10-100 kb	Other gene	2329
Jurkat	H3K27me3 element	10-100 kb	Ubiq. expr. gene	518
Jurkat	H3K27me3 element	100-250 kb	Other gene	4145
Jurkat	H3K27me3 element	100-250 kb	Ubiq. expr. gene	976
Jurkat	H3K27me3 element	250 kb-1 Mb	Other gene	20561
Jurkat	H3K27me3 element	250 kb-1 Mb	Ubiq. expr. gene	5027
Jurkat	High H3K27ac	0-10 kb	Other gene	3335
Jurkat	High H3K27ac	0-10 kb	Ubiq. expr. gene	756
Jurkat	High H3K27ac	1 Mb-2 Mb	Other gene	141323
Jurkat	High H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	38253
Jurkat	High H3K27ac	10-100 kb	Other gene	19014
Jurkat	High H3K27ac	10-100 kb	Ubiq. expr. gene	4737
Jurkat	High H3K27ac	100-250 kb	Other gene	28268
Jurkat	High H3K27ac	100-250 kb	Ubiq. expr. gene	7482
Jurkat	High H3K27ac	250 kb-1 Mb	Other gene	120762
Jurkat	High H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	33998
Jurkat	No H3K27ac	0-10 kb	Other gene	4235
Jurkat	No H3K27ac	0-10 kb	Ubiq. expr. gene	831
Jurkat	No H3K27ac	1 Mb-2 Mb	Other gene	386048
Jurkat	No H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	107459
Jurkat	No H3K27ac	10-100 kb	Other gene	42203
Jurkat	No H3K27ac	10-100 kb	Ubiq. expr. gene	11887
Jurkat	No H3K27ac	100-250 kb	Other gene	68839
Jurkat	No H3K27ac	100-250 kb	Ubiq. expr. gene	20092
Jurkat	No H3K27ac	250 kb-1 Mb	Other gene	318554
Jurkat	No H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	90464
WTC11	CTCF element	0-10 kb	Other gene	1642
WTC11	CTCF element	0-10 kb	Ubiq. expr. gene	292
WTC11	CTCF element	1 Mb-2 Mb	Other gene	145765
WTC11	CTCF element	1 Mb-2 Mb	Ubiq. expr. gene	40221
WTC11	CTCF element	10-100 kb	Other gene	15594
WTC11	CTCF element	10-100 kb	Ubiq. expr. gene	3768
WTC11	CTCF element	100-250 kb	Other gene	24928
WTC11	CTCF element	100-250 kb	Ubiq. expr. gene	6753
WTC11	CTCF element	250 kb-1 Mb	Other gene	117073
WTC11	CTCF element	250 kb-1 Mb	Ubiq. expr. gene	32697
WTC11	H3K27ac	0-10 kb	Other gene	7731
WTC11	H3K27ac	0-10 kb	Ubiq. expr. gene	1650
WTC11	H3K27ac	1 Mb-2 Mb	Other gene	626969
WTC11	H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	173095
WTC11	H3K27ac	10-100 kb	Other gene	72104
WTC11	H3K27ac	10-100 kb	Ubiq. expr. gene	19776
WTC11	H3K27ac	100-250 kb	Other gene	115310
WTC11	H3K27ac	100-250 kb	Ubiq. expr. gene	33634
WTC11	H3K27ac	250 kb-1 Mb	Other gene	523372
WTC11	H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	148964
WTC11	H3K27me3 element	0-10 kb	Other gene	2498
WTC11	H3K27me3 element	0-10 kb	Ubiq. expr. gene	175
WTC11	H3K27me3 element	1 Mb-2 Mb	Other gene	141397
WTC11	H3K27me3 element	1 Mb-2 Mb	Ubiq. expr. gene	39049
WTC11	H3K27me3 element	10-100 kb	Other gene	15219
WTC11	H3K27me3 element	10-100 kb	Ubiq. expr. gene	3883
WTC11	H3K27me3 element	100-250 kb	Other gene	25639
WTC11	H3K27me3 element	100-250 kb	Ubiq. expr. gene	7855
WTC11	H3K27me3 element	250 kb-1 Mb	Other gene	114324
WTC11	H3K27me3 element	250 kb-1 Mb	Ubiq. expr. gene	34147
WTC11	High H3K27ac	0-10 kb	Other gene	2475
WTC11	High H3K27ac	0-10 kb	Ubiq. expr. gene	526
WTC11	High H3K27ac	1 Mb-2 Mb	Other gene	142641
WTC11	High H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	37259
WTC11	High H3K27ac	10-100 kb	Other gene	17324
WTC11	High H3K27ac	10-100 kb	Ubiq. expr. gene	4606
WTC11	High H3K27ac	100-250 kb	Other gene	26902
WTC11	High H3K27ac	100-250 kb	Ubiq. expr. gene	7448
WTC11	High H3K27ac	250 kb-1 Mb	Other gene	119465
WTC11	High H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	31949
WTC11	No H3K27ac	0-10 kb	Other gene	3568
WTC11	No H3K27ac	0-10 kb	Ubiq. expr. gene	609
WTC11	No H3K27ac	1 Mb-2 Mb	Other gene	402581
WTC11	No H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	114219
WTC11	No H3K27ac	10-100 kb	Other gene	42040
WTC11	No H3K27ac	10-100 kb	Ubiq. expr. gene	10984
WTC11	No H3K27ac	100-250 kb	Other gene	70560
WTC11	No H3K27ac	100-250 kb	Ubiq. expr. gene	20495
WTC11	No H3K27ac	250 kb-1 Mb	Other gene	334358
WTC11	No H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	98248
